employee_id,training_date,training_name,training_type,outcome,training_location,trainer,duration_days,cost
1051,10/13/2022,Leadership Development,Internal,Passed,Hardingfort,Mark Morgan,3,572.94
1055,11/15/2022,Customer Service,Internal,Passed,West Robert,Anna Petty,2,125.7
1056,2/16/2023,Leadership Development,Internal,Passed,South Julieville,Julie Cole,2,442.06
1058,4/1/2023,Project Management,External,Failed,South Jesusport,Amanda Christian,1,855.67
1061,8/1/2023,Project Management,Internal,Failed,Paigefurt,Nathan Mitchell,2,862.33
1063,10/15/2022,Technical Skills,Internal,Passed,Onealland,Eric Harris,1,523.82
1065,12/9/2022,Technical Skills,External,Passed,East Leah,Kara Frazier MD,4,486.01
1067,6/24/2023,Project Management,External,Passed,Toddtown,Joseph Long,5,857.65
1068,11/6/2022,Communication Skills,External,Passed,Richardmouth,Ashley Wright,1,238.27
1069,8/22/2022,Communication Skills,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06
1072,5/19/2023,Technical Skills,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91
1073,10/3/2022,Project Management,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3
1077,12/21/2022,Project Management,Internal,Failed,West Brookechester,Joshua Kirk,1,947.17
1080,4/22/2023,Customer Service,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14
1082,4/22/2023,Customer Service,External,Failed,New Colinfort,Angela Colon,5,662.15
1085,11/1/2022,Customer Service,External,Passed,East Katherinetown,Bradley Petersen,5,993.13
1087,5/10/2023,Technical Skills,Internal,Failed,Heatherview,Ryan Crawford,5,197.34
1089,5/27/2023,Technical Skills,Internal,Passed,North Amanda,Jasmin Walker,2,697.28
1090,3/21/2023,Communication Skills,External,Passed,Wrightton,Tracy Sanchez,1,910.33
1092,9/20/2022,Communication Skills,Internal,Passed,Wilkinsfurt,Heather Gutierrez,5,971.46
1093,7/7/2023,Customer Service,External,Failed,West Matthew,George Burns,5,995.52
1096,9/25/2022,Technical Skills,External,Failed,Alexandriachester,Adam Robinson,5,778.25
1098,5/13/2023,Leadership Development,External,Failed,Rachelshire,Kimberly Smith,5,666.67
1100,2/25/2023,Communication Skills,External,Passed,Brownmouth,Sarah Cain,3,518.56
1101,3/31/2023,Communication Skills,Internal,Passed,Osbornfort,Matthew Mason,5,426.82
1102,12/31/2022,Project Management,External,Failed,Taylorburgh,Timothy Freeman,2,150.04
1104,8/11/2022,Communication Skills,Internal,Passed,West Joel,Gloria Phillips,4,766.77
1106,10/31/2022,Project Management,Internal,Passed,Port Jacob,Amber Taylor,1,742.55
1107,1/26/2023,Technical Skills,Internal,Failed,West Lisafort,Isaac Burke,2,231.28
1108,5/23/2023,Customer Service,Internal,Passed,Ricardoberg,Shane Short,5,124.54
1110,10/13/2022,Customer Service,Internal,Passed,Webbmouth,Theodore Robles,2,764.36
1112,9/30/2022,Communication Skills,Internal,Failed,Delgadoshire,Eric Davis,3,668.05
1113,1/20/2023,Technical Skills,External,Failed,Lake Eileenfurt,Brittany Jones,2,956.92
1114,2/25/2023,Communication Skills,Internal,Failed,Jesusland,Darren Huynh,1,912.27
1115,5/19/2023,Customer Service,Internal,Failed,Aguirreland,Brenda Martinez,4,881.71
1116,5/16/2023,Communication Skills,Internal,Failed,Kempmouth,Ms. Jeanette Webster DDS,4,557.68
1120,3/10/2023,Leadership Development,Internal,Failed,Swansonstad,Joshua Bell,4,553.83
1121,9/19/2022,Leadership Development,Internal,Failed,Richardfurt,George Brown,1,428.9
1123,1/31/2023,Project Management,Internal,Passed,Port Misty,Robert Young,4,254.38
1124,11/3/2022,Communication Skills,Internal,Failed,Jennyport,Derek Harrell,1,256.21
1125,12/14/2022,Communication Skills,Internal,Failed,New Gregory,Darren Mccarthy,2,756.19
1127,9/4/2022,Communication Skills,External,Failed,New Waynehaven,Melissa Miles,2,500.83
1128,5/17/2023,Communication Skills,Internal,Failed,New Cory,James Perez,1,773.8
1130,11/9/2022,Leadership Development,External,Passed,Bellport,Mr. Brandon Turner,3,777.7
1131,3/31/2023,Customer Service,Internal,Failed,Garnerhaven,Benjamin Briggs,2,943.05
1132,9/27/2022,Communication Skills,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91
1133,8/19/2022,Customer Service,External,Passed,Blakeshire,Richard Ross,3,107.14
1135,3/22/2023,Project Management,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23
1137,9/9/2022,Communication Skills,Internal,Passed,Rothville,Monique Williams DVM,5,270.92
1140,9/27/2022,Customer Service,Internal,Passed,West Michael,Shawn Martin,1,949.81
1141,5/17/2023,Technical Skills,Internal,Failed,Josephport,Ellen Anderson,1,635.31
1144,1/10/2023,Communication Skills,External,Passed,Cherylland,Nicholas Thompson,4,750.25
1145,11/15/2022,Technical Skills,Internal,Failed,North Madelineville,Teresa Lee,2,401.53
1148,9/1/2022,Communication Skills,External,Passed,West Danieltown,Tamara Lee,3,529
1149,7/31/2023,Leadership Development,External,Failed,East Nicolefort,Michael Roberts,5,483.99
1150,6/3/2023,Project Management,External,Failed,Simmonston,Heather Murillo,5,797.35
1151,12/19/2022,Project Management,External,Passed,New Ronald,Christopher Perry,4,707.59
1152,3/29/2023,Customer Service,External,Failed,Taraland,Kelly Golden,2,564.48
1154,8/12/2022,Customer Service,Internal,Failed,West Sandra,Danielle Decker,3,338.48
1156,9/4/2022,Customer Service,Internal,Failed,North Kayla,Michael Williams,5,939.49
1157,10/11/2022,Technical Skills,External,Passed,Jamiestad,Jeffery Brown,1,276.47
1161,11/13/2022,Technical Skills,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85
1162,9/2/2022,Communication Skills,External,Failed,Port Michelle,Jose Boyd,1,846.55
1163,2/23/2023,Communication Skills,External,Passed,Wrightfort,Robin Morgan,3,734.77
1164,3/1/2023,Technical Skills,Internal,Failed,New Juanville,Anne Goodman,3,315.09
1165,9/27/2022,Communication Skills,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05
1166,8/10/2022,Communication Skills,External,Passed,New Claytonville,Christina Waters,4,942.51
1167,2/23/2023,Project Management,Internal,Failed,Nicolechester,Paul James,4,782.82
1169,6/30/2023,Technical Skills,Internal,Failed,Eduardostad,Joshua Salas,1,487.66
1170,8/4/2023,Communication Skills,External,Failed,Christopherport,Andrew Wright,1,179.85
1171,9/7/2022,Project Management,Internal,Passed,Perryside,Amanda Richardson,1,294.74
1176,2/14/2023,Leadership Development,Internal,Passed,East Karen,Jessica Taylor,2,644.72
1177,9/17/2022,Customer Service,External,Passed,New Joseph,Mark Perez,3,436.86
1179,2/11/2023,Technical Skills,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05
1180,11/17/2022,Technical Skills,Internal,Passed,Thompsonfort,Paul Terry,3,787.85
1181,12/31/2022,Communication Skills,External,Failed,Sullivanland,Jessica Quinn,1,483.82
1182,10/19/2022,Communication Skills,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64
1183,7/16/2023,Technical Skills,Internal,Failed,Silvaview,Jennifer Beasley,4,351.35
1184,1/31/2023,Customer Service,Internal,Passed,Deniseville,Mary Coleman,3,512.51
1185,9/22/2022,Project Management,Internal,Failed,North Jason,James Larson,5,957.9
1186,6/12/2023,Communication Skills,External,Failed,Port John,Renee Calderon,5,886.45
1187,10/25/2022,Communication Skills,Internal,Failed,Acevedoshire,Margaret Martinez,4,443.55
1191,9/23/2022,Customer Service,Internal,Passed,Lake Benjamin,Kenneth Kim,2,820.39
1192,10/11/2022,Leadership Development,External,Passed,Smithbury,Amber Gonzalez,4,111.94
1196,2/28/2023,Communication Skills,Internal,Passed,New Caroline,Jeffrey Marshall,5,355.3
1197,2/25/2023,Technical Skills,Internal,Passed,Debramouth,Alan Hall,5,575.1
1198,6/19/2023,Project Management,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82
1199,11/28/2022,Leadership Development,External,Passed,Claytonstad,Christopher Owen,2,663.19
1200,7/29/2023,Project Management,Internal,Failed,South Brendabury,Zachary Alvarez,2,996.77
1203,10/12/2022,Project Management,External,Failed,Ramirezville,Jennifer Miller,5,308.09
1204,7/16/2023,Project Management,External,Failed,Isaiahview,Courtney Mendez,1,610.96
1205,8/1/2023,Communication Skills,External,Failed,East Loriberg,Nicole Kelley,3,201.83
1207,12/7/2022,Communication Skills,Internal,Passed,East Michaelfort,Kathryn Stephens,5,682.36
1209,6/18/2023,Communication Skills,External,Failed,Kruegerville,Emily Pierce,2,197.78
1210,1/9/2023,Leadership Development,External,Failed,Port Cynthia,Thomas Baker,4,485.44
1213,2/15/2023,Project Management,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39
1214,4/2/2023,Customer Service,Internal,Passed,West Jessica,Bobby Stuart,3,145.13
1215,9/13/2022,Communication Skills,External,Passed,West Dianashire,Brian Thompson,4,751.88
1218,1/30/2023,Leadership Development,Internal,Failed,Henryberg,Erica Winters,3,733.16
1223,8/30/2022,Project Management,External,Passed,Estradahaven,Daniel Harrison,1,474.36
1228,10/5/2022,Technical Skills,Internal,Failed,Dustinshire,Bethany Willis,5,525.69
1229,1/11/2023,Customer Service,External,Failed,Lake Melissa,Angela Moore,1,173.66
1230,4/30/2023,Communication Skills,External,Passed,New Reneefurt,Emily Tate,1,635.71
1231,8/6/2022,Project Management,External,Passed,Port Aliciaview,Douglas Dean,1,896.8
1232,11/30/2022,Leadership Development,Internal,Failed,East Katieport,Jill Fox DVM,4,857.61
1233,11/29/2022,Customer Service,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59
1235,4/10/2023,Project Management,Internal,Failed,Cookebury,Roberto Brennan,3,737.91
1239,4/28/2023,Project Management,Internal,Failed,East Alyssa,Melanie Middleton,3,726.03
1240,1/4/2023,Communication Skills,External,Passed,East Nicoletown,Stacy Morton,5,758.75
1243,2/5/2023,Communication Skills,Internal,Failed,Ericmouth,Christopher Jones,3,855.27
1244,2/18/2023,Technical Skills,External,Failed,Mcmahonton,Charles Farrell,5,170.62
1245,6/29/2023,Communication Skills,Internal,Failed,Hallton,Garrett Johnson,4,392.14
1247,12/9/2022,Customer Service,External,Passed,East Michaelside,Stephanie Bruce,5,307.13
1250,4/28/2023,Communication Skills,External,Failed,Margaretmouth,Anna Floyd,3,366.78
1251,2/4/2023,Communication Skills,External,Failed,Nancyside,Wyatt Hansen,5,205.92
1254,4/20/2023,Project Management,Internal,Passed,Allisonport,Ryan Adkins,3,252.53
1256,5/26/2023,Project Management,Internal,Passed,Lake Derekburgh,Kenneth Rodriguez,4,926.76
1257,5/23/2023,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61
1258,6/30/2023,Project Management,Internal,Failed,Alyssabury,Cody Brown,1,732.02
1259,1/4/2023,Leadership Development,Internal,Passed,Port Troyton,Wayne Morgan,1,897.62
1260,11/21/2022,Leadership Development,Internal,Passed,Port Rachelshire,Michael Smith,2,786.57
1261,7/26/2023,Project Management,External,Failed,Thompsonberg,Alicia Dunn,3,613.93
1262,1/17/2023,Communication Skills,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8
1263,3/3/2023,Communication Skills,Internal,Failed,Port Jason,Larry Yang,5,784.1
1264,5/16/2023,Customer Service,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67
1268,5/25/2023,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97
1269,12/23/2022,Customer Service,External,Passed,Lake Kevin,Tommy Wilson,4,813.9
1271,2/15/2023,Customer Service,Internal,Passed,North Sheila,Gina White,3,692.71
1274,5/22/2023,Project Management,Internal,Passed,West Deanna,Curtis Price,2,448.48
1275,6/13/2023,Communication Skills,External,Failed,Port Michellechester,Amber Church,3,288.88
1276,7/15/2023,Communication Skills,Internal,Failed,East Katherine,Chris Clark,1,572.45
1277,3/27/2023,Communication Skills,Internal,Passed,Reneeshire,Sandra Russell,3,141.38
1278,2/4/2023,Technical Skills,Internal,Failed,Lake Bryan,Donna Barr,1,331.46
1279,11/23/2022,Technical Skills,Internal,Failed,New Rachelfort,Jose Mcdaniel,4,704.93
1280,6/8/2023,Leadership Development,External,Passed,Evanhaven,Robert Novak,4,450.65
1283,1/17/2023,Customer Service,External,Failed,Christopherport,Karen Thomas,2,106.54
1284,11/10/2022,Communication Skills,External,Passed,New Johnstad,Richard Rogers,1,852.87
1285,11/8/2022,Project Management,External,Passed,Port Robertmouth,Jessica Wallace,4,469.03
1289,10/8/2022,Leadership Development,Internal,Failed,Campbellmouth,Steven Sanchez,3,900.52
1290,5/14/2023,Leadership Development,External,Passed,East Denisechester,Alyssa Williams,4,140.72
1292,2/22/2023,Customer Service,Internal,Passed,Jessicatown,Stephanie Johnson,5,950.3
1293,3/12/2023,Project Management,Internal,Passed,Martinton,Cynthia Patton,2,668.77
1295,1/3/2023,Communication Skills,Internal,Failed,Starkmouth,Timothy Santos,5,689.77
1298,5/16/2023,Project Management,Internal,Passed,Dudleyfurt,Kayla Cruz,3,411.17
1299,1/21/2023,Project Management,External,Passed,Atkinsonborough,Karen Ritter,3,358.81
1300,4/29/2023,Technical Skills,Internal,Passed,Greentown,Jose Young,4,588.64
1302,8/20/2022,Project Management,Internal,Passed,South Jennifer,Jennifer Thornton,2,758.79
1303,6/2/2023,Leadership Development,Internal,Failed,Moorehaven,Zoe Vasquez,3,921.81
1306,7/13/2023,Technical Skills,External,Failed,North Ashleytown,Donald Anderson,4,443.99
1308,10/10/2022,Leadership Development,External,Failed,East Diana,Stephen Wheeler,5,742.16
1309,9/9/2022,Technical Skills,External,Failed,North Alexandria,Jennifer Rodriguez,3,517.74
1312,4/29/2023,Communication Skills,Internal,Passed,West Davidview,Christopher Mcfarland,4,514.37
1314,3/18/2023,Project Management,Internal,Passed,New Dennis,Douglas Green,4,852.21
1315,7/29/2023,Communication Skills,External,Failed,Port Kelly,Gregory Davis,4,761.63
1317,8/20/2022,Communication Skills,External,Passed,West Jacob,Joseph Flowers,5,414.75
1320,8/25/2022,Leadership Development,External,Passed,Matthewhaven,Michael Cummings,3,948.71
1322,2/24/2023,Customer Service,External,Failed,Goodmouth,Lynn Cuevas,1,891.25
1323,3/30/2023,Customer Service,Internal,Passed,East Lindsay,Michael Kramer,2,659.9
1324,9/30/2022,Project Management,Internal,Failed,Lake Theresa,Paul Torres,2,858.72
1325,3/28/2023,Project Management,External,Failed,Victorville,Robert Chapman,5,380.24
1327,7/2/2023,Leadership Development,Internal,Passed,Abbottton,Belinda Gonzalez,3,609.01
1330,11/20/2022,Project Management,Internal,Failed,East Michellechester,Lisa Jenkins,3,633.72
1331,9/14/2022,Communication Skills,Internal,Failed,Bradshawburgh,Seth Smith,2,517.62
1333,3/1/2023,Customer Service,Internal,Passed,Thomasborough,Tyler Sanchez,2,605.12
1335,2/20/2023,Leadership Development,Internal,Failed,Port Joseph,Joe Anderson,2,384.43
1336,12/19/2022,Leadership Development,Internal,Passed,Lopezport,Brian Sanchez,4,969.95
1338,10/30/2022,Leadership Development,External,Failed,Donnaland,Calvin Simmons,1,355.83
1341,2/14/2023,Project Management,Internal,Passed,West Ryan,Justin Ingram,3,268.78
1343,9/2/2022,Customer Service,External,Passed,West Catherineton,Lori Smith,5,924.85
1344,11/1/2022,Technical Skills,Internal,Failed,Port Jesse,Marissa Johnson,5,284.38
1347,10/22/2022,Communication Skills,Internal,Failed,New Vernonberg,Christopher Becker,5,792.72
1350,1/29/2023,Leadership Development,Internal,Failed,North Miguelport,Jennifer Jimenez,2,610.06
1351,12/20/2022,Project Management,Internal,Passed,Port Brian,Marcia Johnson,2,278.16
1352,11/1/2022,Communication Skills,External,Passed,Smithchester,Emily Harmon,4,218.93
1356,4/6/2023,Technical Skills,Internal,Failed,Michellefort,Dwayne Day,3,301.39
1358,8/10/2022,Communication Skills,Internal,Passed,Danielchester,Mary Galloway,2,994.81
1359,2/14/2023,Customer Service,External,Failed,South Lisaview,Mary Bonilla,4,729.91
1360,9/20/2022,Leadership Development,Internal,Passed,North Anthonyberg,Douglas Barton,2,538.02
1365,4/10/2023,Leadership Development,External,Failed,Anthonybury,Joshua Gallagher,1,610.97
1366,11/18/2022,Technical Skills,Internal,Passed,East David,Justin Herrera,1,762.83
1367,9/20/2022,Project Management,External,Failed,Medinafort,Jesus Jackson,5,438.44
1368,10/19/2022,Project Management,Internal,Failed,East Briantown,Denise Lopez,4,271.9
1369,1/31/2023,Communication Skills,External,Failed,Danatown,David Hernandez,2,629.2
1370,9/6/2022,Leadership Development,Internal,Failed,Marshallland,Jamie Davis MD,1,850.28
1372,6/3/2023,Customer Service,Internal,Passed,Ericamouth,Amy Fowler,1,475.32
1373,9/8/2022,Leadership Development,External,Failed,West Anthony,Julie Sanders,4,847.2
1374,10/8/2022,Customer Service,Internal,Passed,Colemanton,Ashley Miller,1,983.35
1375,6/25/2023,Technical Skills,External,Passed,North Shawnville,Candace Brown,3,880.9
1378,1/28/2023,Communication Skills,External,Failed,New Ashleyburgh,Danny Santiago,5,145.7
1379,3/6/2023,Communication Skills,Internal,Passed,Joneston,Charles Lee,1,397.48
1380,5/26/2023,Communication Skills,External,Failed,West David,Grace Wheeler,3,326.7
1382,2/21/2023,Communication Skills,Internal,Passed,Jameschester,Jose Gates,5,162.46
1385,6/27/2023,Communication Skills,Internal,Passed,Michaeltown,David Evans,1,678.07
1387,12/20/2022,Communication Skills,External,Failed,Banksland,Paul Simon,1,195.95
1389,1/16/2023,Communication Skills,External,Failed,Castilloville,Grace Archer,3,425.34
1390,3/3/2023,Communication Skills,External,Passed,Port Kelly,Anthony Burns,3,512.53
1391,2/5/2023,Leadership Development,External,Passed,Andersonland,Jason Jones,3,146.48
1394,2/13/2023,Leadership Development,Internal,Passed,Michelleburgh,Kevin Miller,5,370.26
1398,1/4/2023,Communication Skills,External,Passed,Olsonmouth,Kelly Rogers,3,191.99
1400,8/6/2022,Communication Skills,Internal,Failed,New Melissachester,David Dennis,2,634.92
1401,7/3/2023,Communication Skills,Internal,Failed,Madisonview,Michael Murillo,5,873.98
1402,10/14/2022,Communication Skills,External,Passed,Lake Sarah,Mary Ramirez,3,602.33
1403,6/8/2023,Technical Skills,Internal,Failed,Lake Christopherfort,Ryan Craig,3,807.02
1406,5/3/2023,Technical Skills,Internal,Failed,Fordborough,Jonathan French,5,930.1
1408,12/24/2022,Communication Skills,Internal,Passed,Hunterfort,Brian Rocha,5,691.82
1410,11/25/2022,Project Management,External,Passed,North Russellstad,Luis Reynolds,1,746.8
1411,12/14/2022,Technical Skills,External,Failed,Beardland,Jennifer Ferguson,1,690.75
1412,8/24/2022,Project Management,External,Failed,Andreahaven,Gwendolyn Sullivan,4,544.19
1414,1/21/2023,Customer Service,Internal,Failed,North Vincentstad,Kimberly Blankenship,3,997.2
1415,12/28/2022,Customer Service,Internal,Failed,Aaronburgh,Joshua David,3,633.96
1416,10/27/2022,Customer Service,External,Passed,Fordside,Julie Lewis,2,638.69
1417,1/5/2023,Project Management,Internal,Passed,North James,Brandon Braun,1,643.82
1418,6/24/2023,Project Management,External,Failed,Lake Davidbury,Jermaine Coleman,1,840.76
1420,2/16/2023,Communication Skills,Internal,Passed,Kevinfort,Kari Finley,5,889.57
1421,12/8/2022,Customer Service,Internal,Passed,Kevinmouth,Karen Brown,5,835.97
1423,3/15/2023,Communication Skills,Internal,Passed,Hernandezstad,James Welch,3,255.55
1425,3/13/2023,Technical Skills,Internal,Failed,Beckland,Michael Barnes,1,850.15
1427,4/25/2023,Project Management,External,Passed,Brettview,Crystal Norton,1,684.24
1431,10/15/2022,Technical Skills,External,Failed,Kellyland,Danielle Peck,3,790.72
1432,8/6/2022,Communication Skills,Internal,Passed,Patelstad,Crystal Baldwin,4,894.75
1435,9/21/2022,Leadership Development,Internal,Passed,Morganshire,Jessica Alexander,4,360.38
1437,12/28/2022,Leadership Development,External,Passed,South Rickyton,James Garcia,3,537.12
1442,2/21/2023,Technical Skills,External,Failed,Kingview,Heather Butler,3,367.56
1443,5/3/2023,Leadership Development,Internal,Failed,Sarahberg,Kimberly Gray,5,582.49
1444,1/30/2023,Leadership Development,External,Failed,New Jennaton,Christopher Garcia,2,561.14
1446,2/6/2023,Communication Skills,Internal,Passed,Jenniferville,Jennifer Estrada,3,207.17
1447,5/26/2023,Technical Skills,External,Passed,Merrittstad,Johnny Austin,4,784.89
1448,8/6/2022,Leadership Development,Internal,Failed,Billymouth,Vicki Cook,5,151.43
1452,9/4/2022,Technical Skills,Internal,Passed,Suarezfort,Janet Schneider,4,320.38
1453,4/5/2023,Technical Skills,Internal,Passed,Pearsonfort,Bryan Sanchez,2,294.55
1455,5/15/2023,Leadership Development,Internal,Passed,Wallacemouth,Rachel Moore,5,223.34
1457,5/11/2023,Project Management,External,Passed,Jameston,Mrs. Brittany Avila,5,988.47
1458,5/22/2023,Technical Skills,External,Failed,Graymouth,Brittany Mack,1,429.49
1459,10/18/2022,Project Management,Internal,Failed,Michelleview,Mark Cooper,3,798.97
1463,4/14/2023,Customer Service,Internal,Passed,Lake Stephaniefort,Ralph Chavez,2,399.05
1464,6/25/2023,Customer Service,Internal,Passed,Navarrochester,Samuel Sparks,2,791.74
1466,12/16/2022,Project Management,External,Passed,Johnsontown,Valerie Collins,3,746.05
1468,4/10/2023,Leadership Development,Internal,Passed,Sharonfort,Sharon Matthews,5,429.38
1469,8/25/2022,Leadership Development,External,Failed,Sharonstad,Wendy Lopez,3,867.59
1470,4/17/2023,Communication Skills,External,Failed,Lisaport,Anita Wright,5,502.65
1472,4/11/2023,Project Management,Internal,Passed,Mistybury,Albert Schneider,3,416.76
1473,2/11/2023,Leadership Development,External,Passed,Mackenziemouth,Mark Ramirez,4,336.08
1479,1/23/2023,Project Management,Internal,Failed,South Joseton,Nathaniel Blevins,1,975.27
1480,4/18/2023,Leadership Development,External,Failed,Lake Meghan,Thomas Allen DDS,2,946.81
1481,5/16/2023,Communication Skills,Internal,Passed,Cooperview,Richard Flynn,5,142.57
1482,10/13/2022,Customer Service,Internal,Passed,Johnview,William Jones,5,186.57
1483,8/22/2022,Communication Skills,External,Failed,Melissabury,Jason Gibson,4,168.71
1484,7/29/2023,Communication Skills,External,Failed,North Georgeburgh,Danielle Maxwell,1,473.77
1486,5/30/2023,Customer Service,Internal,Failed,East April,Jenny Stewart,2,176.63
1487,8/8/2022,Customer Service,External,Failed,West Yvette,Christine Reed,3,385.82
1489,10/1/2022,Leadership Development,External,Passed,Rogersshire,Michele Ward,5,112.64
1490,7/23/2023,Communication Skills,External,Failed,North Randalltown,John Gonzalez,4,849.95
1491,8/10/2022,Technical Skills,External,Failed,West Ana,Corey Anthony,5,187.65
1492,12/25/2022,Customer Service,Internal,Failed,Lynchstad,Timothy Rice,1,285.56
1493,10/9/2022,Communication Skills,Internal,Failed,Lake Sharihaven,Bonnie Ross,3,793.43
1495,2/25/2023,Customer Service,Internal,Passed,Lake Lesliehaven,Angela Norman,4,993.66
1497,8/23/2022,Technical Skills,External,Passed,New Mark,Jeanette Kirby,3,140.78
1500,1/12/2023,Technical Skills,Internal,Passed,New Kathrynchester,Ashley Robbins DDS,2,916.73
1502,3/8/2023,Technical Skills,Internal,Failed,Garciabury,Lindsey Maldonado,4,245
1505,5/8/2023,Leadership Development,Internal,Passed,Jessicaside,Jacqueline Mclaughlin,2,204.1
1507,9/21/2022,Technical Skills,Internal,Passed,Pughland,Catherine Whitehead,3,812.13
1509,6/29/2023,Project Management,Internal,Failed,New Darren,William Ford,4,343.07
1510,10/13/2022,Technical Skills,External,Failed,Lake Jamesport,Sarah Butler,5,986.78
1513,11/10/2022,Technical Skills,External,Failed,Jeffburgh,Jon Braun,4,746.57
1514,12/1/2022,Leadership Development,Internal,Failed,Gardnertown,Cindy Horn,5,434.39
1515,4/3/2023,Communication Skills,External,Passed,Franktown,Kristopher Turner,3,765.84
1516,11/18/2022,Communication Skills,Internal,Failed,North Brandonshire,Brian Powell,3,457.4
1518,12/8/2022,Customer Service,Internal,Passed,South Kevin,Tanya Marshall,2,803.79
1520,10/11/2022,Communication Skills,External,Failed,Rachelmouth,Thomas Johnson,5,104.48
1522,5/17/2023,Technical Skills,External,Failed,Hayesport,Kimberly Martin,3,791.99
1523,12/11/2022,Technical Skills,External,Failed,South Veronica,Amanda Mcbride,2,660.4
1524,5/1/2023,Communication Skills,Internal,Passed,Johnsonfurt,Richard Martinez,2,928.81
1526,5/26/2023,Leadership Development,Internal,Passed,New Richardhaven,Victoria Patel,3,190.51
1528,12/10/2022,Communication Skills,Internal,Failed,Lake Amy,Ryan Carey,1,639.93
1529,4/14/2023,Communication Skills,External,Failed,North Susan,Elizabeth Robinson,5,304.06
1530,6/6/2023,Project Management,External,Passed,Adamsmouth,Brendan Robles,4,261.13
1534,10/27/2022,Project Management,External,Failed,Port Jake,Carla Smith,1,857.19
1535,10/9/2022,Customer Service,Internal,Failed,Rhondaport,Mrs. Kelly Rich PhD,3,442.86
1536,1/27/2023,Communication Skills,Internal,Passed,Josephshire,Travis Ryan,4,382
1537,7/29/2023,Communication Skills,External,Failed,Lake Kyle,David Anderson,2,430.09
1540,10/27/2022,Communication Skills,Internal,Failed,Rochaton,Stephanie Zamora,1,686.34
1541,2/17/2023,Communication Skills,Internal,Passed,Lake Rebecca,Russell Gutierrez,4,770.12
1542,10/7/2022,Leadership Development,External,Failed,Jamiechester,Amanda Fowler,4,180.73
1544,10/23/2022,Communication Skills,Internal,Passed,Burkeport,Kelly Bennett,3,811.24
1545,2/5/2023,Leadership Development,Internal,Passed,East Kathleenstad,Ethan Golden,3,566
1548,4/12/2023,Communication Skills,Internal,Passed,North Nicholasberg,Nicholas Bryant,4,206.75
1549,6/4/2023,Project Management,External,Passed,North Paulbury,Tammy Smith,1,759.56
